N,P,K,temperature,humidity,ph,rainfall,label
91.53,19.51,59.7,25.01,91.49,6.51,23.98,muskmelon
99.39,17.11,42.52,25.23,91.98,6.72,45.47,watermelon
25.7,55.34,49.43,31.23,92.43,6.9,161.77,papaya
57.01,69.73,56.52,32.38,88.73,5.82,138.43,papaya
10.99,145.89,188.46,20.03,91.66,6.07,115.46,apple
25.35,25.77,28.26,31.89,56.53,6.1,115.8,mango
24.93,155.67,214.9,20.06,86.17,6.84,147.03,apple
9.51,34.84,21.69,21.6,63.13,6.71,114.86,mothbeans
23.88,41.62,23.93,24.79,95.31,6.25,51.29,mungbean
17.86,62.26,17.31,25.74,76.3,6.59,47.48,lentil
47.33,48.07,20.87,25.44,61.82,7.37,69.37,blackgram
24.1,20.5,27.53,26.08,96.38,6.0,152.34,coconut
27.02,17.51,41.84,19.69,90.73,6.66,106.03,pomegranate
105.33,61.55,42.81,27.28,71.1,6.38,163.25,jute
24.63,15.99,30.08,27.97,92.76,5.56,190.25,coconut
27.41,16.18,48.08,20.42,95.89,6.39,122.14,pomegranate
22.49,121.16,207.24,21.2,84.52,6.16,96.25,apple
83.61,60.28,10.32,28.02,68.35,5.95,83.33,maize
36.73,52.96,51.75,34.35,92.49,6.84,136.57,papaya
101.86,10.63,50.12,28.77,91.54,6.69,25.99,muskmelon
72.62,27.15,40.62,22.73,58.64,7.68,175.8,coffee
43.53,67.47,50.15,31.96,93.86,6.41,160.95,papaya
11.66,11.42,6.72,23.01,92.87,7.16,118.94,orange
63.85,62.97,43.33,35.13,92.05,6.72,114.93,papaya
49.53,83.12,92.15,23.92,19.71,7.34,47.96,chickpea
69.06,46.58,43.48,26.34,76.22,6.3,152.08,jute
21.36,52.58,31.14,26.55,86.95,5.8,12.12,mungbean
19.07,18.13,6.08,28.41,90.99,6.88,104.8,orange
22.56,66.01,22.62,16.87,54.82,5.88,141.1,pigeonpeas
95.81,33.22,30.62,25.03,84.57,6.66,389.11,rice
17.67,9.35,45.75,24.38,82.21,6.99,91.79,pomegranate
26.12,49.23,19.32,24.1,55.33,6.35,10.0,mothbeans
72.14,48.46,38.73,25.5,82.72,6.24,173.39,jute
30.28,73.21,17.03,19.72,68.15,7.31,36.53,lentil
80.95,46.57,32.22,26.74,82.97,6.43,192.69,jute
36.35,50.29,31.22,30.41,61.06,7.76,53.41,blackgram
87.63,47.81,53.07,24.12,76.4,6.87,158.13,jute
30.81,41.7,76.14,22.3,25.79,6.69,89.93,chickpea
35.71,60.08,64.94,18.75,10.0,7.68,81.65,chickpea
22.39,69.44,18.66,24.47,11.39,5.29,102.93,kidneybeans
48.66,49.8,58.46,30.88,91.59,6.82,178.84,papaya
29.85,27.39,39.98,30.68,48.05,5.83,92.5,mango
41.88,60.43,17.44,24.47,63.24,7.0,76.1,blackgram
52.61,47.02,12.09,19.69,66.44,7.0,112.55,maize
26.54,58.06,25.17,28.75,83.61,6.41,70.07,mungbean
61.45,26.47,23.11,30.48,64.95,6.72,87.45,maize
18.7,69.87,19.73,25.3,42.3,6.0,89.31,pigeonpeas
22.07,16.6,27.17,28.96,92.71,5.37,155.73,coconut
91.25,14.61,54.13,31.24,90.44,5.87,31.31,muskmelon
74.29,47.26,24.97,23.53,54.32,6.49,103.32,maize
21.53,62.71,25.18,27.99,58.23,7.56,63.04,blackgram
94.98,33.15,35.25,23.27,65.98,6.64,190.29,coffee
20.83,114.14,209.35,23.65,82.86,5.51,72.4,grapes
16.24,56.01,30.2,26.79,89.09,6.12,59.32,mungbean
106.39,30.49,15.7,24.52,57.7,7.31,161.19,coffee
10.29,73.93,16.36,25.16,32.96,5.32,94.01,kidneybeans
150.3,52.06,18.78,23.89,77.9,6.94,79.26,cotton
20.52,113.1,193.54,21.48,90.51,5.92,119.62,apple
125.31,84.45,57.27,25.74,85.15,5.77,110.55,banana
37.75,57.71,36.61,25.78,61.57,7.31,77.0,blackgram
94.04,18.43,48.49,27.82,77.35,5.75,47.71,watermelon
30.58,14.48,32.02,28.45,95.66,5.65,177.41,coconut
7.57,63.66,29.33,21.7,60.17,6.68,27.78,lentil
15.57,24.81,15.94,20.59,90.49,6.59,100.56,orange
54.86,80.07,57.11,32.82,92.01,6.49,121.25,papaya
15.26,64.69,27.08,27.78,42.69,6.09,105.91,pigeonpeas
16.65,16.14,11.69,18.95,93.87,7.65,107.41,orange
74.86,43.29,25.92,22.44,76.45,7.28,272.43,rice
100.04,14.34,43.45,29.91,88.41,6.04,13.96,muskmelon
13.41,84.47,25.59,26.05,59.36,5.14,117.02,pigeonpeas
110.72,6.64,48.36,26.87,89.89,6.55,36.21,muskmelon
24.12,16.49,29.44,25.34,90.75,5.45,185.13,coconut
79.65,43.47,40.6,24.62,74.4,6.77,141.79,jute
120.3,95.47,64.44,27.58,80.13,6.34,119.64,banana
42.14,57.82,29.39,27.09,64.67,7.38,59.13,blackgram
58.99,52.92,48.92,34.57,95.52,6.49,193.99,papaya
88.14,92.16,45.97,24.03,71.8,6.53,117.33,banana
122.22,63.81,30.98,22.85,81.27,6.33,96.49,cotton
102.71,24.12,61.31,24.91,85.7,7.06,22.49,watermelon
10.42,8.9,9.19,21.52,94.55,7.3,119.08,orange
80.97,27.49,41.65,27.21,53.89,6.88,159.95,coffee
58.38,64.77,75.51,18.94,14.48,7.7,47.67,chickpea
79.25,44.61,30.92,22.85,85.78,6.65,195.9,rice
18.03,40.72,21.92,32.96,54.4,7.4,22.2,mothbeans
13.91,9.46,9.39,19.4,94.72,7.16,108.95,orange
16.61,23.44,33.93,31.51,39.41,5.58,112.55,mango
91.8,23.16,39.1,22.15,41.46,6.34,121.49,coffee
25.29,26.04,19.03,28.43,61.5,7.22,61.65,mothbeans
29.74,67.62,19.64,25.76,63.6,7.3,73.41,blackgram
8.65,18.13,50.16,21.45,88.83,6.03,125.97,pomegranate
70.16,58.49,14.37,18.77,52.55,6.6,46.59,maize
20.71,42.69,10.59,29.04,78.12,5.7,49.35,mothbeans
109.13,53.61,10.96,23.16,71.14,6.62,92.84,cotton
26.44,45.86,47.56,34.14,93.47,6.89,135.41,papaya
9.91,72.06,28.93,36.09,43.96,6.09,172.79,pigeonpeas
23.38,36.11,26.32,29.72,45.95,5.88,47.1,mothbeans
13.67,58.68,19.6,17.85,25.09,6.44,93.4,kidneybeans
128.86,27.64,23.93,24.72,40.19,6.78,180.52,coffee
45.38,74.16,33.37,35.56,59.51,7.91,73.75,blackgram
24.63,66.24,19.5,23.61,74.03,6.46,33.91,lentil
15.27,14.57,31.97,26.14,100.0,5.56,204.49,coconut
79.88,61.8,40.77,22.28,89.62,6.67,193.51,rice
17.33,14.06,9.01,21.01,92.84,6.32,125.56,orange
133.97,10.61,41.33,28.47,98.35,6.07,22.34,muskmelon
123.32,21.31,43.36,24.15,81.82,7.27,23.7,watermelon
27.28,66.81,18.42,20.07,24.28,5.11,127.29,kidneybeans
93.04,21.62,53.25,22.56,79.17,5.77,47.82,watermelon
116.09,73.47,59.65,28.41,87.41,5.69,83.05,banana
28.97,62.34,23.84,26.24,51.24,5.11,153.41,pigeonpeas
1.59,24.13,17.02,31.29,37.34,5.0,61.42,mothbeans
111.78,64.22,57.15,26.53,82.83,6.29,137.16,banana
72.59,63.69,32.23,27.92,84.86,7.46,135.29,jute
134.24,47.7,21.2,26.89,82.9,7.52,36.13,cotton
25.44,14.21,38.21,23.31,87.89,6.4,115.98,pomegranate
27.74,63.31,2.56,25.5,37.61,4.82,100.5,pigeonpeas
48.07,57.26,83.76,20.52,21.3,8.68,87.85,chickpea
76.56,59.49,14.37,22.9,79.17,5.99,139.37,maize
24.37,17.79,25.94,24.67,94.84,5.83,228.93,coconut
28.31,23.29,35.43,20.08,90.58,5.98,141.85,pomegranate
71.36,44.25,16.98,20.97,88.83,7.22,225.04,rice
18.72,82.91,24.07,26.45,42.81,5.6,167.13,pigeonpeas
27.21,128.52,212.4,23.32,88.67,5.66,60.79,grapes
39.78,78.22,17.88,31.19,67.81,7.27,63.93,blackgram
21.78,13.07,32.99,28.02,92.28,5.97,205.91,coconut
38.49,65.05,90.34,20.78,10.0,7.63,83.89,chickpea
45.05,73.27,11.56,24.49,59.03,6.77,79.3,blackgram
18.73,18.41,31.98,24.06,95.38,5.46,198.48,coconut
81.66,42.36,9.76,25.62,70.2,6.25,140.4,maize
100.18,72.19,57.4,30.36,81.37,6.86,74.49,banana
26.95,52.22,21.6,26.98,56.7,6.73,59.16,mothbeans
99.14,87.48,36.61,25.52,79.54,6.85,102.72,banana
39.91,59.14,11.71,20.91,25.33,5.58,134.07,kidneybeans
27.35,18.67,47.91,16.93,88.23,6.23,105.71,pomegranate
44.04,66.76,69.96,19.97,10.1,7.89,70.71,chickpea
26.73,21.14,23.37,29.18,97.13,5.52,214.97,coconut
15.7,14.76,5.48,20.53,88.61,6.95,93.9,orange
26.45,71.09,18.15,23.65,39.13,6.12,199.16,pigeonpeas
92.28,77.43,53.39,27.91,67.82,6.41,133.73,banana
77.01,70.71,59.72,28.75,81.45,5.04,97.83,banana
22.69,142.26,206.32,24.84,86.15,6.17,127.76,apple
20.96,73.69,13.45,18.84,25.17,6.12,99.12,kidneybeans
101.8,17.61,52.51,27.81,92.03,6.17,17.49,muskmelon
28.53,48.92,31.69,31.08,81.08,6.71,47.29,mungbean
8.2,35.83,20.96,25.32,58.14,6.82,10.63,mothbeans
24.41,25.27,37.12,28.07,97.09,5.75,162.29,coconut
61.95,32.74,14.46,22.86,66.95,6.18,95.56,maize
9.7,139.9,185.43,20.08,92.0,5.86,91.82,apple
10.58,11.86,22.24,26.07,95.37,5.8,160.26,coconut
22.4,96.85,22.2,19.06,26.53,5.94,113.4,kidneybeans
13.2,61.04,23.99,26.34,63.02,6.5,34.36,mothbeans
13.27,46.32,22.18,34.28,75.93,7.28,62.6,mungbean
13.01,73.19,24.18,24.51,74.22,6.29,53.02,lentil
111.82,21.69,49.49,21.24,80.01,6.64,50.13,watermelon
26.78,48.12,26.04,29.55,85.16,6.55,46.79,mungbean
15.9,71.58,7.48,24.66,47.69,5.25,112.54,pigeonpeas
11.77,50.13,9.24,21.58,40.91,6.97,128.96,pigeonpeas
21.62,61.06,19.01,27.31,26.71,6.07,110.81,pigeonpeas
7.85,65.24,29.97,20.06,22.38,5.07,92.67,kidneybeans
75.49,49.47,29.65,20.55,67.95,6.1,85.86,maize
84.92,44.21,51.64,26.48,84.98,6.47,201.45,jute
26.91,36.8,80.84,24.4,22.19,7.4,70.17,chickpea
18.77,133.03,209.02,22.67,93.5,6.1,126.27,apple
20.09,9.43,10.16,22.49,92.39,6.91,127.07,orange
127.24,48.9,34.0,24.81,79.29,6.56,65.12,cotton
75.67,50.23,31.73,25.04,89.66,6.35,251.07,rice
22.13,13.85,31.48,27.24,91.13,5.74,176.93,coconut
16.68,156.07,206.43,25.02,81.49,5.97,66.05,grapes
11.98,56.86,15.21,21.17,60.62,6.79,58.56,lentil
119.96,22.14,56.47,24.64,92.57,6.39,44.53,watermelon
26.69,148.25,202.33,20.21,77.08,6.05,62.5,grapes
16.38,145.72,183.97,25.04,80.46,5.62,108.79,grapes
20.01,67.34,22.68,30.13,66.34,7.68,59.91,blackgram
22.69,21.06,44.87,22.0,100.0,5.78,73.79,pomegranate
58.85,82.43,74.11,15.64,16.7,6.42,86.46,chickpea
19.91,20.97,30.75,26.63,90.25,6.21,158.7,coconut
57.42,31.86,31.77,22.37,59.65,6.82,66.83,maize
13.99,45.34,16.9,23.32,70.72,6.2,23.2,lentil
27.49,116.89,198.32,22.64,77.33,5.84,86.62,grapes
108.38,16.67,49.89,21.68,83.5,6.12,50.75,watermelon
81.62,41.81,34.41,25.95,80.87,6.38,139.04,jute
113.82,31.21,31.96,26.73,58.71,7.19,175.35,coffee
105.95,35.7,30.28,21.37,44.4,7.09,145.75,coffee
19.12,67.38,11.31,19.1,20.7,7.01,82.76,kidneybeans
68.92,58.8,31.32,24.33,77.22,6.24,168.0,jute
14.3,46.6,21.85,26.43,66.52,7.05,50.79,mothbeans
16.97,66.18,22.09,18.54,16.95,5.72,83.26,kidneybeans
88.38,95.68,69.67,26.92,85.0,5.37,126.5,banana
18.58,63.71,24.39,21.01,22.9,5.93,74.29,kidneybeans
27.85,18.24,41.49,30.37,92.97,6.9,175.61,coconut
56.23,67.23,34.16,32.17,94.85,6.81,115.09,papaya
46.39,55.05,49.39,32.34,87.78,6.48,142.56,papaya
16.59,48.68,25.67,29.5,79.73,7.07,38.44,mungbean
17.12,24.4,43.11,30.51,55.88,5.8,58.03,mango
19.35,23.48,42.53,20.82,83.19,5.91,111.76,pomegranate
113.56,19.66,45.06,28.61,91.03,6.63,31.5,watermelon
32.71,76.97,21.68,25.28,23.23,5.89,103.94,kidneybeans
62.02,44.95,15.12,22.44,65.45,6.56,82.89,maize
30.59,136.6,182.0,22.73,92.73,5.66,121.6,apple
39.63,73.6,25.54,26.76,49.26,7.09,72.4,blackgram
48.97,64.31,70.09,12.54,12.4,7.19,60.26,chickpea
13.8,129.55,207.31,26.3,82.58,6.17,71.27,grapes
17.19,137.96,185.96,20.77,77.51,7.02,77.96,grapes
120.48,75.7,55.74,26.78,79.26,5.51,138.31,banana
122.67,63.53,28.06,23.54,82.36,6.77,121.1,cotton
67.62,43.79,44.13,22.87,77.89,6.52,244.8,rice
19.5,22.15,37.33,21.42,89.82,5.84,105.73,pomegranate
15.65,46.39,13.65,20.51,86.2,7.0,51.93,mungbean
92.9,111.43,57.24,31.74,85.58,6.02,111.03,banana
74.51,41.68,36.5,29.09,80.9,5.91,161.99,jute
13.8,35.67,22.1,25.47,85.61,6.46,21.28,mungbean
77.26,54.75,11.02,24.15,66.33,6.55,93.68,maize
39.81,63.11,90.24,21.84,12.14,7.5,60.57,chickpea
44.2,58.13,74.63,21.17,14.14,8.16,72.01,chickpea
32.48,62.74,90.48,19.34,10.0,7.76,66.64,chickpea
23.85,138.53,196.82,25.66,93.48,5.51,116.72,apple
60.2,65.31,51.79,23.06,73.43,7.08,230.42,rice
20.33,52.5,14.47,16.99,22.24,5.73,90.57,kidneybeans
59.21,74.62,73.56,33.5,90.01,6.88,138.34,papaya
99.18,33.57,24.24,24.55,56.39,6.31,149.5,coffee
41.65,53.18,16.1,31.53,56.59,5.83,64.59,blackgram
25.85,87.57,13.21,21.42,15.44,5.98,86.63,kidneybeans
21.41,30.59,35.12,30.01,52.27,6.28,118.31,mango
13.26,29.27,44.76,32.56,43.09,6.37,88.67,mango
27.53,19.53,32.54,23.54,91.67,5.43,124.62,coconut
52.63,44.5,42.27,31.38,90.01,6.15,150.09,papaya
20.82,140.3,194.97,22.54,87.47,5.62,102.84,apple
31.54,60.56,89.3,18.0,13.98,6.82,88.47,chickpea
12.09,18.65,42.32,17.47,93.71,5.34,96.44,pomegranate
34.92,65.52,74.47,23.36,17.63,7.45,92.44,chickpea
102.68,18.46,51.71,28.98,92.17,6.4,36.97,muskmelon
2.89,152.95,208.54,26.01,95.71,6.53,126.18,apple
89.1,18.13,58.94,25.66,91.55,5.71,21.07,muskmelon
93.84,25.39,39.87,26.02,89.94,6.06,22.32,muskmelon
23.85,22.28,24.13,29.99,51.92,6.54,54.05,mango
20.12,24.6,50.26,32.35,46.73,5.27,57.39,mango
104.38,62.83,11.08,25.44,79.49,7.66,86.82,cotton
23.84,5.33,24.84,27.34,94.41,5.81,184.22,coconut
22.7,24.22,34.54,20.27,91.18,6.82,67.45,pomegranate
88.21,44.98,37.82,26.2,86.13,6.81,287.22,rice
103.74,12.97,46.33,27.65,87.4,5.72,18.99,muskmelon
102.54,24.22,30.58,20.4,59.36,5.83,187.2,coffee
31.92,52.1,49.57,33.51,88.06,6.65,127.06,papaya
18.44,64.43,22.16,25.41,52.69,6.81,59.45,mothbeans
92.24,33.15,0.0,25.8,54.06,6.19,49.9,maize
18.27,28.1,24.05,31.21,51.2,5.05,114.91,mango
97.64,25.0,55.39,28.61,90.8,6.17,39.06,muskmelon
23.01,65.06,15.47,31.19,64.55,5.51,125.51,pigeonpeas
23.79,45.75,25.08,27.65,82.69,6.97,61.14,mungbean
97.95,25.58,35.14,25.39,76.05,6.86,146.23,coffee
8.8,118.98,197.08,26.0,82.75,6.8,54.47,grapes
17.31,13.7,23.99,23.38,96.16,5.99,175.26,coconut
104.0,46.43,26.4,23.3,68.74,6.82,76.88,cotton
15.73,71.54,14.11,27.24,52.47,5.59,156.82,pigeonpeas
83.05,39.44,25.78,22.71,76.59,7.24,270.27,rice
31.38,140.48,193.84,24.65,91.9,5.99,112.36,apple
15.77,13.68,33.25,20.88,84.1,6.97,109.1,pomegranate
106.79,25.84,28.68,27.31,52.47,7.11,197.78,coffee
37.08,51.37,87.83,18.77,15.1,8.9,85.98,chickpea
136.21,61.41,14.86,24.22,83.37,7.51,94.37,cotton
82.22,49.47,35.9,25.01,86.11,6.31,126.21,jute
14.21,28.28,29.94,30.65,60.71,5.45,68.01,mango
94.22,61.29,61.68,25.45,76.58,5.7,110.44,banana
41.93,58.42,43.56,36.12,94.37,6.91,175.9,papaya
15.21,136.84,207.14,18.25,93.57,5.68,110.11,apple
30.78,83.15,75.78,22.65,23.61,7.8,71.37,chickpea
89.24,52.93,36.9,24.65,75.74,6.86,227.6,rice
20.25,80.26,12.28,21.41,42.16,6.42,89.23,pigeonpeas
8.74,46.04,21.81,28.53,34.56,6.27,48.72,mothbeans
0.0,38.43,13.24,27.23,81.77,7.1,20.11,mungbean
83.29,41.81,28.53,24.56,74.57,6.78,145.32,jute
10.59,30.55,39.87,20.83,92.35,6.98,126.92,pomegranate
23.26,143.92,203.13,16.94,82.07,6.62,77.91,grapes
23.69,45.73,15.06,25.84,73.5,6.8,65.64,mothbeans
74.75,35.07,37.6,24.8,77.49,6.97,197.99,jute
87.88,68.1,18.58,20.61,53.97,5.93,84.01,maize
16.22,12.83,17.46,30.21,98.78,5.49,169.3,coconut
76.52,57.19,17.68,23.8,67.57,5.97,114.76,maize
35.5,67.01,85.01,14.67,10.0,7.02,55.59,chickpea
82.44,84.02,34.43,27.08,74.31,6.13,86.51,banana
68.11,45.93,29.65,22.89,76.01,7.38,236.41,rice
12.7,23.52,38.16,26.44,94.92,5.89,224.31,coconut
67.07,56.8,37.7,26.69,82.14,6.36,160.33,jute
21.58,23.65,32.8,29.91,45.96,5.04,113.53,mango
111.66,22.12,59.35,26.0,88.33,5.96,38.35,muskmelon
17.16,140.1,190.44,22.45,91.7,5.99,106.1,apple
115.85,91.67,57.19,30.64,79.67,6.22,93.31,banana
26.86,69.89,10.07,23.16,46.77,5.86,104.79,pigeonpeas
44.35,69.4,26.52,31.37,72.76,7.26,47.16,blackgram
19.43,15.46,14.13,18.07,85.15,6.91,117.03,orange
38.52,62.34,63.05,20.54,13.34,6.72,22.55,chickpea
98.38,18.41,47.24,25.68,82.04,7.14,43.3,watermelon
69.62,83.58,50.33,26.84,83.96,6.27,110.96,banana
20.7,151.66,201.13,20.41,89.87,6.14,132.48,apple
42.25,76.33,64.82,13.72,10.0,7.93,68.96,chickpea
115.85,30.67,19.2,24.32,76.43,6.95,169.2,coffee
6.04,63.11,21.14,28.8,42.9,5.82,50.47,pigeonpeas
6.92,16.59,5.54,22.51,88.57,6.53,134.07,orange
21.99,145.59,185.46,24.54,87.32,6.75,106.83,apple
17.22,16.73,28.43,24.13,100.0,5.43,180.5,coconut
63.45,52.98,55.67,33.32,87.09,6.33,141.25,papaya
81.93,20.41,50.11,26.82,85.32,6.79,32.78,watermelon
19.79,53.33,25.04,31.65,63.57,7.32,43.7,mothbeans
34.09,64.24,54.84,32.13,87.51,6.7,144.81,papaya
51.97,60.9,77.66,19.04,12.08,7.62,77.58,chickpea
18.99,14.74,51.95,26.5,86.53,6.73,122.99,pomegranate
28.61,77.39,78.24,21.01,10.64,6.52,96.36,chickpea
59.43,63.46,45.14,35.67,87.93,6.66,169.17,papaya
29.91,79.77,19.82,17.09,62.11,8.25,42.54,lentil
24.3,124.4,198.78,21.93,90.42,5.49,108.71,apple
18.14,17.01,40.19,21.23,88.27,7.16,84.61,pomegranate
39.72,84.72,95.61,17.63,12.99,7.53,60.03,chickpea
8.06,28.99,27.74,31.63,54.67,6.44,64.86,mango
51.4,80.17,77.82,12.63,12.96,7.95,79.54,chickpea
21.53,15.2,37.8,21.86,85.34,6.19,90.81,pomegranate
86.1,11.77,55.42,21.15,83.34,6.73,44.01,watermelon
22.92,72.0,22.83,20.23,25.46,5.94,80.25,kidneybeans
30.2,49.97,27.61,28.87,78.06,6.03,24.73,mungbean
97.4,18.03,50.91,28.0,88.73,6.84,27.95,muskmelon
109.52,15.44,60.02,28.41,85.52,6.27,30.41,watermelon
10.36,65.11,25.53,19.62,30.07,4.97,104.76,kidneybeans
114.79,16.01,33.51,28.86,95.82,6.77,18.37,muskmelon
23.62,24.54,29.57,31.18,50.86,6.3,107.87,mango
94.53,39.98,36.72,23.22,74.68,6.55,245.44,rice
45.43,67.03,26.38,31.95,53.8,7.39,64.92,blackgram
40.89,68.97,72.82,18.05,19.08,7.9,77.21,chickpea
136.07,84.17,45.35,24.65,81.87,6.79,100.05,banana
31.48,67.06,9.81,32.45,63.36,7.66,60.1,blackgram
13.44,55.47,26.82,28.35,38.62,5.93,108.97,pigeonpeas
43.49,51.42,48.17,33.34,91.05,7.16,157.7,papaya
35.04,67.18,21.35,29.77,35.31,6.82,158.09,pigeonpeas
8.34,37.6,16.64,21.89,85.28,6.58,22.91,mungbean
23.91,10.57,38.61,21.43,93.74,6.36,140.9,coconut
117.83,36.7,2.19,26.7,83.6,7.11,67.85,cotton
25.13,133.17,194.91,26.88,84.59,5.66,50.08,grapes
23.01,129.65,180.67,21.56,92.7,5.74,88.02,apple
19.8,67.05,17.0,23.07,52.62,7.03,45.39,lentil
84.25,72.28,45.5,25.49,80.9,4.93,82.64,banana
89.93,47.53,37.21,24.64,73.02,6.63,192.21,jute
28.11,144.78,190.67,22.68,88.17,6.26,111.89,apple
21.29,10.13,37.62,20.88,85.6,7.48,90.93,pomegranate
18.12,138.66,195.78,19.82,100.0,5.71,79.74,apple
20.34,49.43,25.71,29.58,83.85,6.6,55.65,mungbean
84.68,7.83,58.14,25.41,91.46,6.7,18.85,muskmelon
89.98,22.58,40.61,26.92,43.11,6.49,166.06,coffee
99.84,31.26,29.84,24.32,57.4,6.81,152.38,coffee
32.82,55.32,21.3,22.61,42.11,5.3,125.68,pigeonpeas
73.66,53.13,48.6,26.6,83.69,7.07,188.78,jute
28.06,62.48,17.18,20.8,18.38,5.67,146.99,kidneybeans
118.36,66.29,40.68,22.43,76.87,6.28,96.72,banana
85.09,50.56,27.86,28.0,73.11,5.38,46.61,maize
71.82,43.44,34.92,21.52,84.56,7.09,143.17,jute
114.83,41.62,15.75,21.13,60.56,5.98,120.67,maize
40.29,82.16,23.61,27.29,45.88,5.23,153.1,pigeonpeas
13.59,22.5,34.76,28.05,58.46,5.53,87.23,mango
33.51,58.82,29.19,21.5,12.6,5.88,63.0,kidneybeans
26.03,9.21,35.99,18.01,82.98,6.46,144.12,pomegranate
99.63,22.23,48.39,26.14,84.8,6.45,48.88,watermelon
38.3,83.37,17.9,28.94,61.14,7.65,97.4,blackgram
73.36,50.22,16.17,26.77,57.84,6.21,71.81,maize
79.01,34.89,33.48,24.09,77.7,6.21,275.25,rice
16.02,53.83,22.98,31.21,41.0,5.41,67.16,mothbeans
12.93,47.37,22.1,15.31,21.57,5.57,118.58,kidneybeans
18.41,21.58,46.19,31.48,43.19,6.23,110.38,mango
128.2,45.65,15.18,22.16,87.93,7.28,118.87,cotton
53.24,47.8,44.13,31.28,89.83,6.57,138.34,papaya
30.9,51.8,14.19,27.07,46.86,6.37,69.58,mothbeans
119.52,50.54,13.89,24.72,78.86,7.01,65.51,cotton
41.39,52.31,20.89,31.54,99.06,7.14,62.23,mungbean
19.41,20.09,3.05,22.26,91.79,7.29,107.18,orange
70.94,42.89,48.24,22.46,77.33,6.48,174.61,jute
32.86,48.79,14.77,24.82,78.63,7.04,62.81,blackgram
26.3,58.89,31.1,30.53,91.98,6.41,30.65,mungbean
93.69,38.78,32.64,25.33,73.88,5.87,139.62,coffee
94.58,96.36,31.72,22.86,80.36,5.68,105.15,banana
15.15,74.58,24.11,34.39,46.24,6.2,153.92,pigeonpeas
42.08,47.07,52.56,32.78,91.41,7.26,158.73,papaya
21.41,100.27,195.79,22.9,93.06,6.26,107.19,apple
14.28,19.22,44.09,23.89,85.1,7.72,123.35,pomegranate
78.51,40.3,21.87,18.33,67.65,6.72,25.19,maize
9.97,43.26,33.12,31.42,54.92,6.15,92.19,mango
23.32,8.83,42.58,26.79,93.56,5.51,175.6,coconut
11.54,138.74,203.35,24.33,92.54,5.36,98.61,apple
16.02,73.76,9.95,24.55,68.62,7.75,34.44,lentil
82.5,36.76,34.88,27.28,81.24,6.47,153.54,jute
12.74,53.95,16.46,27.6,53.72,5.9,34.42,mothbeans
4.58,81.92,23.03,19.5,53.17,7.74,34.94,lentil
29.84,7.51,35.71,24.47,99.66,5.28,203.81,coconut
33.56,39.61,26.12,33.62,60.57,6.97,56.69,blackgram
68.29,32.09,53.47,24.12,84.54,6.4,213.46,jute
18.28,52.0,11.86,28.67,88.31,7.04,18.95,mungbean
106.13,53.07,11.72,25.25,88.91,7.13,92.76,cotton
101.04,20.51,55.1,23.57,82.34,6.82,55.73,watermelon
22.64,130.81,197.77,24.73,90.68,6.14,113.56,apple
26.07,123.47,195.32,20.01,79.03,6.26,70.11,grapes
20.0,14.17,27.19,27.27,93.03,6.1,134.44,coconut
20.4,147.47,209.38,23.49,87.41,4.82,100.78,grapes
101.63,14.62,43.31,21.71,98.84,6.37,16.12,watermelon
79.51,26.33,39.11,21.39,85.35,6.58,197.4,rice
17.26,22.87,32.81,33.62,59.37,5.17,120.78,mango
